combo,n_strats,risks,breaker,smart,search_n,search_pass60,search_fail60,search_med
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,1000/1000,,near,82,0.561,0.012,30.5
NDX100:S25 | US30:L7,2,1000/1000,2000.0,near,82,0.561,0.049,36.5
NDX100:S25 | US30:L7,2,1000/1000,,near,82,0.561,0.049,36.5
NDX100:S25 | SPX500:S42,2,1000/1000,2000.0,near,82,0.561,0.146,25.0
NDX100:S25 | SPX500:S42,2,1000/1000,,near,82,0.561,0.146,25.0
NDX100:LIVE_COMP+MA100,1,1500,2000.0,,82,0.561,0.341,28.0
NDX100:LIVE_COMP+MA100,1,1500,,,82,0.561,0.341,28.0
NDX100:S25 | US30:L7,2,1500/1500,2000.0,,82,0.561,0.366,25.5
NDX100:S25 | US30:L7,2,1500/1500,,,82,0.561,0.366,25.5
SPX500:S42 | NDX100:LIVE_COMP,2,1000/1000,2000.0,near,82,0.549,0.341,28.0
SPX500:S42 | NDX100:LIVE_COMP,2,1000/1000,,near,82,0.549,0.341,28.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,750/750/750,2000.0,near,82,0.537,0.012,31.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,750/750/750,,near,82,0.537,0.012,31.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,750/750/750,2000.0,,82,0.537,0.024,31.5
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,750/750/750,,,82,0.537,0.024,31.5
US30:L7 | NDX100:LIVE_COMP+MA100,2,500/1000,2000.0,near,82,0.537,0.024,38.0
NDX100:S24 | US30:L7,2,1500/1500,2000.0,,82,0.537,0.341,31.0
NDX100:S24 | US30:L7,2,1500/1500,,,82,0.537,0.341,31.0
NDX100:S25 | SPX500:S42 | US30:L7,3,500/1000/500,2000.0,near,82,0.524,0.0,34.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,500/500/1000,2000.0,near,82,0.524,0.024,31.0
NDX100:S24 | US30:L7,2,1000/1000,2000.0,,82,0.524,0.037,39.0
NDX100:S24 | US30:L7,2,1000/1000,,,82,0.524,0.037,39.0
US30:L7 | NDX100:LIVE_COMP+MA100,2,1000/1000,2000.0,,82,0.524,0.098,35.0
US30:L7 | NDX100:LIVE_COMP+MA100,2,1000/1000,,,82,0.524,0.098,35.0
NDX100:S25 | SPX500:S42,2,1000/1000,2000.0,,82,0.524,0.207,25.0
NDX100:S25 | SPX500:S42,2,1000/1000,,,82,0.524,0.207,25.0
NDX100:S24 | SPX500:S42,2,1000/1000,2000.0,,82,0.512,0.0,38.0
NDX100:S24 | SPX500:S42,2,1000/1000,,,82,0.512,0.0,38.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,1000/1000/500,2000.0,near,82,0.512,0.012,29.5
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,1000/1000,2000.0,,82,0.512,0.024,30.0
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,1000/1000,,,82,0.512,0.024,30.0
NDX100:S25 | US30:L7,2,1000/1000,2000.0,,82,0.512,0.085,38.0
NDX100:S25 | US30:L7,2,1000/1000,,,82,0.512,0.085,38.0
US30:L7 | NDX100:LIVE_COMP,2,1000/1000,2000.0,,82,0.512,0.293,30.5
US30:L7 | NDX100:LIVE_COMP,2,1000/1000,,,82,0.512,0.293,30.5
NDX100:S25 | SPX500:S42 | US30:L7,3,500/1000/1000,2000.0,near,82,0.5,0.024,32.0
US30:L7 | NDX100:LIVE_COMP,2,500/1000,2000.0,near,82,0.5,0.232,33.0
NDX100:S24 | SPX500:S42,2,1000/500,2000.0,near,82,0.488,0.0,40.5
NDX100:S25 | SPX500:S42,2,750/750,2000.0,,82,0.488,0.037,30.5
NDX100:S25 | SPX500:S42,2,750/750,,,82,0.488,0.037,30.5
SPX500:S42 | NDX100:LIVE_COMP,2,1000/1000,2000.0,,82,0.488,0.354,27.5
SPX500:S42 | NDX100:LIVE_COMP,2,1000/1000,,,82,0.488,0.354,27.5
NDX100:LIVE_COMP,1,1500,2000.0,near,82,0.488,0.512,19.5
NDX100:LIVE_COMP,1,1500,,near,82,0.488,0.512,19.5
NDX100:S25 | SPX500:S42,2,750/750,2000.0,near,82,0.476,0.037,30.0
NDX100:S25 | SPX500:S42,2,750/750,,near,82,0.476,0.037,30.0
NDX100:S24,1,1500,2000.0,near,82,0.463,0.0,42.0
NDX100:S24,1,1500,,near,82,0.463,0.0,42.0
US30:L7 | NDX100:LIVE_COMP,2,750/750,2000.0,near,82,0.463,0.122,40.5
US30:L7 | NDX100:LIVE_COMP,2,750/750,,near,82,0.463,0.122,40.5
US30:L7 | NDX100:LIVE_COMP+MA100,2,1500/1500,2000.0,near,82,0.463,0.439,24.5
US30:L7 | NDX100:LIVE_COMP+MA100,2,1500/1500,,near,82,0.463,0.439,24.5
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,1500/1500,2000.0,near,82,0.463,0.451,19.0
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,1500/1500,,near,82,0.463,0.451,19.0
US30:L7 | NDX100:LIVE_COMP,2,1500/1500,2000.0,near,82,0.463,0.537,24.0
US30:L7 | NDX100:LIVE_COMP,2,1500/1500,,near,82,0.463,0.537,24.0
SPX500:S42 | NDX100:LIVE_COMP,2,750/750,2000.0,near,82,0.451,0.122,32.0
SPX500:S42 | NDX100:LIVE_COMP,2,750/750,,near,82,0.451,0.122,32.0
SPX500:S42 | NDX100:L6,2,1500/1500,2000.0,near,82,0.451,0.268,24.0
SPX500:S42 | NDX100:L6,2,1500/1500,,near,82,0.451,0.268,24.0
NDX100:L6 | US30:L7,2,1500/1500,2000.0,,82,0.451,0.329,38.0
NDX100:L6 | US30:L7,2,1500/1500,,,82,0.451,0.329,38.0
NDX100:LIVE_COMP,1,1000,2000.0,near,82,0.451,0.354,27.0
NDX100:LIVE_COMP,1,1000,,near,82,0.451,0.354,27.0
US30:L7 | NDX100:LIVE_COMP+MA100,2,1500/1500,2000.0,,82,0.451,0.488,23.0
US30:L7 | NDX100:LIVE_COMP+MA100,2,1500/1500,,,82,0.451,0.488,23.0
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,500/1000,2000.0,near,82,0.439,0.012,30.5
NDX100:LIVE_COMP+MA100,1,1000,2000.0,near,82,0.439,0.049,36.5
NDX100:LIVE_COMP+MA100,1,1000,,near,82,0.439,0.049,36.5
SPX500:S42 | NDX100:LIVE_COMP,2,750/750,2000.0,,82,0.439,0.11,35.5
SPX500:S42 | NDX100:LIVE_COMP,2,750/750,,,82,0.439,0.11,35.5
US30:L7 | NDX100:LIVE_COMP,2,750/750,2000.0,,82,0.439,0.134,42.0
US30:L7 | NDX100:LIVE_COMP,2,750/750,,,82,0.439,0.134,42.0
SPX500:S42 | NDX100:L6,2,1500/1500,2000.0,,82,0.439,0.293,24.5
SPX500:S42 | NDX100:L6,2,1500/1500,,,82,0.439,0.293,24.5
SPX500:S42 | NDX100:LIVE_COMP,2,500/1000,2000.0,near,82,0.439,0.329,27.0
NDX100:LIVE_COMP,1,1500,2000.0,,82,0.439,0.561,22.0
NDX100:LIVE_COMP,1,1500,,,82,0.439,0.561,22.0
NDX100:S25 | US30:L7,2,1000/500,2000.0,near,82,0.427,0.061,39.0
NDX100:S22 | SPX500:S42,2,1000/1000,2000.0,near,82,0.427,0.171,32.0
NDX100:S22 | SPX500:S42,2,1000/1000,,near,82,0.427,0.171,32.0
NDX100:S24 | US30:L7,2,1500/1500,2000.0,near,82,0.427,0.232,38.0
NDX100:S24 | US30:L7,2,1500/1500,,near,82,0.427,0.232,38.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,1500/1500/1500,2000.0,near,82,0.427,0.549,16.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,1500/1500/1500,,near,82,0.427,0.549,16.0
SPX500:S42 | NDX100:LIVE_COMP,2,1500/1500,2000.0,near,82,0.427,0.573,17.0
SPX500:S42 | NDX100:LIVE_COMP,2,1500/1500,,near,82,0.427,0.573,17.0
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,750/750,2000.0,,82,0.415,0.0,35.5
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,750/750,2000.0,near,82,0.415,0.0,33.5
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,750/750,,,82,0.415,0.0,35.5
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,750/750,,near,82,0.415,0.0,33.5
NDX100:S25 | SPX500:S42,2,500/1000,2000.0,near,82,0.415,0.012,37.5
SPX500:S42 | NDX100:LIVE_COMP,2,1000/500,2000.0,near,82,0.415,0.037,37.5
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,1500/1500,2000.0,,82,0.415,0.5,18.5
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,1500/1500,,,82,0.415,0.5,18.5
US30:L7 | NDX100:LIVE_COMP,2,1500/1500,2000.0,,82,0.415,0.585,19.0
US30:L7 | NDX100:LIVE_COMP,2,1500/1500,,,82,0.415,0.585,19.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,1000/500/500,2000.0,near,82,0.402,0.0,35.0
NDX100:S22 | US30:L7,2,1000/1000,2000.0,,82,0.402,0.061,38.0
NDX100:S22 | US30:L7,2,1000/1000,,,82,0.402,0.061,38.0
SPX500:S42 | NDX100:L6,2,1000/1000,2000.0,near,82,0.402,0.098,31.0
SPX500:S42 | NDX100:L6,2,1000/1000,,near,82,0.402,0.098,31.0
SPX500:S42 | US30:L7,2,1500/1500,2000.0,,82,0.402,0.183,34.0
SPX500:S42 | US30:L7,2,1500/1500,,,82,0.402,0.183,34.0
NDX100:L6 | US30:L7,2,1500/1500,2000.0,near,82,0.402,0.232,39.0
NDX100:L6 | US30:L7,2,1500/1500,,near,82,0.402,0.232,39.0
NDX100:S22 | US30:L7,2,1500/1500,2000.0,,82,0.402,0.488,24.0
NDX100:S22 | US30:L7,2,1500/1500,,,82,0.402,0.488,24.0
SPX500:S42 | NDX100:L6,2,1000/1000,2000.0,,82,0.39,0.11,34.0
SPX500:S42 | NDX100:L6,2,1000/1000,,,82,0.39,0.11,34.0
SPX500:S42 | US30:L7,2,1500/1500,2000.0,near,82,0.39,0.22,35.5
SPX500:S42 | US30:L7,2,1500/1500,,near,82,0.39,0.22,35.5
NDX100:S22 | SPX500:S42,2,1000/1000,2000.0,,82,0.39,0.232,29.0
NDX100:S22 | SPX500:S42,2,1000/1000,,,82,0.39,0.232,29.0
NDX100:LIVE_COMP,1,1000,2000.0,,82,0.39,0.366,29.5
NDX100:LIVE_COMP,1,1000,,,82,0.39,0.366,29.5
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,1500/1500/1500,,,82,0.39,0.585,15.0
NDX100:S25 | SPX500:S42 | US30:L7,3,500/500/500,2000.0,,82,0.378,0.0,46.0
NDX100:S25 | SPX500:S42 | US30:L7,3,500/500/500,,,82,0.378,0.0,46.0
NDX100:S25 | US30:L7,2,750/750,2000.0,,82,0.378,0.012,44.0
NDX100:S25 | US30:L7,2,750/750,,,82,0.378,0.012,44.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,500/1000/500,2000.0,near,82,0.378,0.012,34.0
US30:L7 | NDX100:LIVE_COMP+MA100,2,750/750,2000.0,near,82,0.378,0.012,40.0
US30:L7 | NDX100:LIVE_COMP+MA100,2,750/750,,near,82,0.378,0.012,40.0
SPX500:S42 | NDX100:LIVE_COMP,2,1500/1500,2000.0,,82,0.378,0.622,15.0
SPX500:S42 | NDX100:LIVE_COMP,2,1500/1500,,,82,0.378,0.622,15.0
NDX100:S24 | US30:L7,2,1000/500,2000.0,near,82,0.366,0.0,45.0
NDX100:S25 | SPX500:S42 | US30:L7,3,500/500/1000,2000.0,near,82,0.366,0.0,36.0
NDX100:LIVE_COMP,1,750,2000.0,near,82,0.366,0.134,45.0
NDX100:LIVE_COMP,1,750,,near,82,0.366,0.134,45.0
NDX100:S22,1,1500,2000.0,,82,0.366,0.293,27.5
NDX100:S22,1,1500,,,82,0.366,0.293,27.5
NDX100:S25 | SPX500:S42 | US30:L7,3,1500/1500/1500,2000.0,,82,0.366,0.598,15.5
NDX100:S25 | SPX500:S42 | US30:L7,3,1500/1500/1500,,,82,0.366,0.598,15.5
NDX100:S24 | SPX500:S42,2,750/750,2000.0,,82,0.354,0.0,41.0
NDX100:S24 | SPX500:S42,2,750/750,2000.0,near,82,0.354,0.0,41.0
NDX100:S24 | SPX500:S42,2,750/750,,,82,0.354,0.0,41.0
NDX100:S24 | SPX500:S42,2,750/750,,near,82,0.354,0.0,41.0
NDX100:S24,1,1500,2000.0,,82,0.354,0.012,44.0
NDX100:S24,1,1500,,,82,0.354,0.012,44.0
NDX100:LIVE_COMP,1,750,2000.0,,82,0.354,0.122,47.0
NDX100:LIVE_COMP,1,750,,,82,0.354,0.122,47.0
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,1000/500,2000.0,near,82,0.341,0.0,35.5
NDX100:S25 | SPX500:S42 | US30:L7,3,500/500/500,2000.0,near,82,0.341,0.0,45.0
NDX100:S25 | SPX500:S42 | US30:L7,3,500/500/500,,near,82,0.341,0.0,45.0
US30:L7 | NDX100:LIVE_COMP+MA100,2,750/750,2000.0,,82,0.341,0.024,41.5
US30:L7 | NDX100:LIVE_COMP+MA100,2,750/750,,,82,0.341,0.024,41.5
NDX100:S22 | US30:L7,2,1500/1500,2000.0,near,82,0.341,0.256,33.0
NDX100:S22 | US30:L7,2,1500/1500,,near,82,0.341,0.256,33.0
NDX100:S25 | US30:L7,2,750/750,2000.0,near,82,0.329,0.012,39.0
NDX100:S25 | US30:L7,2,750/750,,near,82,0.329,0.012,39.0
NDX100:LIVE_COMP+MA100,1,1000,2000.0,,82,0.329,0.061,30.0
NDX100:LIVE_COMP+MA100,1,1000,,,82,0.329,0.061,30.0
NDX100:S25,1,1000,2000.0,,82,0.329,0.122,34.0
NDX100:S25,1,1000,,,82,0.329,0.122,34.0
NDX100:L6,1,1500,2000.0,,82,0.329,0.207,31.0
NDX100:L6,1,1500,2000.0,near,82,0.329,0.207,30.0
NDX100:L6,1,1500,,,82,0.329,0.207,31.0
NDX100:L6,1,1500,,near,82,0.329,0.207,30.0
NDX100:S22 | SPX500:S42,2,750/750,2000.0,near,82,0.317,0.037,37.0
NDX100:S22 | SPX500:S42,2,750/750,,near,82,0.317,0.037,37.0
NDX100:S24 | US30:L7,2,1000/1000,2000.0,near,82,0.317,0.049,43.5
NDX100:S24 | US30:L7,2,1000/1000,,near,82,0.317,0.049,43.5
SPX500:S42 | NDX100:L6,2,750/750,2000.0,near,82,0.305,0.012,33.0
SPX500:S42 | NDX100:L6,2,750/750,,near,82,0.305,0.012,33.0
US30:L7 | NDX100:LIVE_COMP,2,1000/500,2000.0,near,82,0.305,0.024,43.0
SPX500:S42 | NDX100:L6,2,500/1000,2000.0,near,82,0.305,0.037,33.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,1500/1500/1500,2000.0,,82,0.305,0.671,15.0
NDX100:S24 | US30:L7,2,750/750,2000.0,,82,0.293,0.0,46.0
NDX100:S24 | US30:L7,2,750/750,,,82,0.293,0.0,46.0
NDX100:S22 | US30:L7,2,750/750,2000.0,,82,0.293,0.024,40.5
NDX100:S22 | US30:L7,2,750/750,,,82,0.293,0.024,40.5
NDX100:S22 | SPX500:S42,2,750/750,2000.0,,82,0.28,0.037,34.0
NDX100:S22 | SPX500:S42,2,750/750,,,82,0.28,0.037,34.0
NDX100:S25,1,1000,2000.0,near,82,0.28,0.11,38.0
NDX100:S25,1,1000,,near,82,0.28,0.11,38.0
NDX100:S22 | SPX500:S42,2,1000/500,2000.0,near,82,0.28,0.171,34.0
NDX100:LIVE_COMP+MA100,1,750,2000.0,,82,0.268,0.0,46.5
NDX100:LIVE_COMP+MA100,1,750,2000.0,near,82,0.268,0.0,45.0
NDX100:LIVE_COMP+MA100,1,750,,,82,0.268,0.0,46.5
NDX100:LIVE_COMP+MA100,1,750,,near,82,0.268,0.0,45.0
NDX100:S25 | US30:L7,2,500/1000,2000.0,near,82,0.268,0.0,40.5
SPX500:S42 | NDX100:L6,2,1000/500,2000.0,near,82,0.268,0.012,31.0
NDX100:S24 | SPX500:S42,2,500/1000,2000.0,near,82,0.256,0.0,46.0
NDX100:S24 | US30:L7,2,750/750,2000.0,near,82,0.256,0.0,47.0
NDX100:S24 | US30:L7,2,750/750,,near,82,0.256,0.0,47.0
SPX500:S42 | US30:L7,2,1000/1000,2000.0,near,82,0.256,0.0,41.0
SPX500:S42 | US30:L7,2,1000/1000,,near,82,0.256,0.0,41.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,500/500/500,2000.0,,82,0.256,0.0,41.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,500/500/500,2000.0,near,82,0.256,0.0,40.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,500/500/500,,,82,0.256,0.0,41.0
SPX500:S42 | US30:L7 | NDX100:LIVE_COMP+MA100,3,500/500/500,,near,82,0.256,0.0,40.0
SPX500:S42 | NDX100:L6,2,750/750,2000.0,,82,0.256,0.012,31.0
SPX500:S42 | NDX100:L6,2,750/750,,,82,0.256,0.012,31.0
NDX100:L6 | US30:L7,2,1000/1000,2000.0,,82,0.256,0.024,45.0
NDX100:L6 | US30:L7,2,1000/1000,,,82,0.256,0.024,45.0
NDX100:S22,1,1000,2000.0,,82,0.256,0.061,36.0
NDX100:S22,1,1000,,,82,0.256,0.061,36.0
NDX100:S22,1,1500,2000.0,near,82,0.256,0.22,26.0
NDX100:S22,1,1500,,near,82,0.256,0.22,26.0
NDX100:L6 | US30:L7,2,1000/500,2000.0,near,82,0.244,0.0,47.0
US30:L7 | NDX100:LIVE_COMP+MA100,2,1000/500,2000.0,near,82,0.244,0.0,40.0
SPX500:S42 | NDX100:LIVE_COMP,2,500/500,2000.0,near,82,0.244,0.024,42.5
SPX500:S42 | NDX100:LIVE_COMP,2,500/500,,near,82,0.244,0.024,42.5
NDX100:S25,1,750,2000.0,,82,0.232,0.012,41.0
NDX100:S25,1,750,,,82,0.232,0.012,41.0
NDX100:L6 | US30:L7,2,1000/1000,2000.0,near,82,0.232,0.012,42.0
NDX100:L6 | US30:L7,2,1000/1000,,near,82,0.232,0.012,42.0
SPX500:S42 | US30:L7,2,1000/1000,2000.0,,82,0.22,0.0,37.0
SPX500:S42 | US30:L7,2,1000/1000,,,82,0.22,0.0,37.0
NDX100:S22 | SPX500:S42,2,500/1000,2000.0,near,82,0.22,0.024,33.5
NDX100:L6,1,1000,2000.0,,82,0.207,0.0,44.0
NDX100:L6,1,1000,2000.0,near,82,0.207,0.0,44.0
NDX100:L6,1,1000,,,82,0.207,0.0,44.0
NDX100:L6,1,1000,,near,82,0.207,0.0,44.0
NDX100:S25 | SPX500:S42,2,500/500,2000.0,near,82,0.207,0.0,39.0
NDX100:S25 | SPX500:S42,2,500/500,,near,82,0.207,0.0,39.0
SPX500:S42 | NDX100:LIVE_COMP,2,500/500,2000.0,,82,0.207,0.024,39.0
SPX500:S42 | NDX100:LIVE_COMP,2,500/500,,,82,0.207,0.024,39.0
NDX100:S22,1,1000,2000.0,near,82,0.207,0.085,36.0
NDX100:S22,1,1000,,near,82,0.207,0.085,36.0
NDX100:S25,1,750,2000.0,near,82,0.195,0.0,51.0
NDX100:S25,1,750,,near,82,0.195,0.0,51.0
NDX100:S22,1,750,2000.0,,82,0.195,0.0,34.0
NDX100:S22,1,750,,,82,0.195,0.0,34.0
NDX100:S22 | US30:L7,2,1000/500,2000.0,near,82,0.195,0.024,40.0
NDX100:S22 | US30:L7,2,1000/1000,2000.0,near,82,0.195,0.037,44.5
NDX100:S22 | US30:L7,2,1000/1000,,near,82,0.195,0.037,44.5
NDX100:S24,1,1000,2000.0,,82,0.183,0.0,46.0
NDX100:S24,1,1000,2000.0,near,82,0.183,0.0,51.0
NDX100:S24,1,1000,,,82,0.183,0.0,46.0
NDX100:S24,1,1000,,near,82,0.183,0.0,51.0
NDX100:S25 | SPX500:S42,2,500/500,2000.0,,82,0.183,0.0,37.0
NDX100:S25 | SPX500:S42,2,500/500,,,82,0.183,0.0,37.0
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,500/500,2000.0,,82,0.183,0.0,38.0
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,500/500,2000.0,near,82,0.183,0.0,38.0
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,500/500,,,82,0.183,0.0,38.0
SPX500:S42 | NDX100:LIVE_COMP+MA100,2,500/500,,near,82,0.183,0.0,38.0
NDX100:S25 | US30:L7,2,500/500,2000.0,,82,0.171,0.0,41.5
NDX100:S25 | US30:L7,2,500/500,,,82,0.171,0.0,41.5
SPX500:S42 | US30:L7,2,1000/500,2000.0,near,82,0.171,0.0,47.5
SPX500:S42,1,1500,2000.0,near,82,0.171,0.024,31.5
SPX500:S42,1,1500,,near,82,0.171,0.024,31.5
NDX100:S24 | US30:L7,2,500/1000,2000.0,near,82,0.171,0.061,42.5
NDX100:S22,1,750,2000.0,near,82,0.159,0.0,43.0
NDX100:S22,1,750,,near,82,0.159,0.0,43.0
NDX100:S22 | SPX500:S42,2,500/500,2000.0,,82,0.159,0.0,38.0
NDX100:S22 | SPX500:S42,2,500/500,2000.0,near,82,0.159,0.0,38.0
NDX100:S22 | SPX500:S42,2,500/500,,,82,0.159,0.0,38.0
NDX100:S22 | SPX500:S42,2,500/500,,near,82,0.159,0.0,38.0
SPX500:S42 | US30:L7,2,750/750,2000.0,,82,0.159,0.0,46.0
SPX500:S42 | US30:L7,2,750/750,,,82,0.159,0.0,46.0
SPX500:S42 | US30:L7,2,750/750,2000.0,near,82,0.146,0.0,51.0
SPX500:S42 | US30:L7,2,750/750,,near,82,0.146,0.0,51.0
SPX500:S42 | US30:L7,2,500/1000,2000.0,near,82,0.146,0.0,50.5
NDX100:L6 | US30:L7,2,750/750,2000.0,near,82,0.146,0.0,43.5
NDX100:L6 | US30:L7,2,750/750,,near,82,0.146,0.0,43.5
US30:L7 | NDX100:LIVE_COMP+MA100,2,500/500,2000.0,,82,0.146,0.0,52.0
US30:L7 | NDX100:LIVE_COMP+MA100,2,500/500,,,82,0.146,0.0,52.0
US30:L7 | NDX100:LIVE_COMP,2,500/500,2000.0,,82,0.146,0.024,53.0
US30:L7 | NDX100:LIVE_COMP,2,500/500,,,82,0.146,0.024,53.0
NDX100:S25 | US30:L7,2,500/500,2000.0,near,82,0.134,0.0,51.0
NDX100:S25 | US30:L7,2,500/500,,near,82,0.134,0.0,51.0
NDX100:L6 | US30:L7,2,750/750,2000.0,,82,0.134,0.0,43.0
NDX100:L6 | US30:L7,2,750/750,,,82,0.134,0.0,43.0
NDX100:S22 | US30:L7,2,750/750,2000.0,near,82,0.134,0.012,43.0
NDX100:S22 | US30:L7,2,750/750,,near,82,0.134,0.012,43.0
US30:L7,1,1500,2000.0,,82,0.134,0.317,43.0
